"Month","Tmin","Tmax","CP"
10,-20,-15,1.0853908136713e-13
10,-20,-14,6.37336963245581e-13
10,-20,-13,3.73990576399612e-12
10,-20,-12,2.18431572131545e-11
10,-20,-11,1.26634435757097e-10
10,-20,-10,7.27385735269017e-10
10,-20,-9,4.13389287305081e-09
10,-20,-8,2.32200841532398e-08
10,-20,-7,1.28797201828588e-07
10,-20,-6,7.05136181013585e-07
10,-20,-5,3.82238310806643e-06
10,-20,-4,2.03596444362834e-05
10,-20,-3,0.000106623346414225
10,-20,-2,0.00054898129030745
10,-20,-1,0.00277120284237984
10,-20,0,0.0135401104288706
10,-20,1,0.0605466483923259
10,-20,2,0.203583102513168
10,-20,3,0.3889476584656
10,-20,4,0.402460052592611
10,-20,5,0.448597273119857
10,-20,6,0.434792028808911
10,-20,7,0.457719120357226
10,-20,8,0.509416420884306
10,-20,9,0.465453324182556
10,-20,10,0.484205417855142
10,-20,11,0.48968670660616
10,-20,12,0.529841970474297
10,-20,13,0.507648810372687
10,-20,14,0.478362091557903
10,-20,15,0.439793897608688
10,-20,16,0.407205009179708
10,-20,17,0.415864941232819
10,-20,18,0.453178995917408
10,-20,19,0.470068755321317
10,-20,20,0.339327680010765
10,-20,21,0.325348339190305
10,-20,22,0
10,-20,23,0
10,-20,24,0
10,-20,25,0
10,-20,26,0
10,-20,27,0
10,-20,28,0
10,-20,29,0
10,-20,30,0
10,-19,-15,1.25291210226498e-13
10,-19,-14,7.17450971244819e-13
10,-19,-13,4.14277174081388e-12
10,-19,-12,2.39163296650551e-11
10,-19,-11,1.37410835127784e-10
10,-19,-10,7.83544016716747e-10
10,-19,-9,4.42587692335781e-09
10,-19,-8,2.47317791298648e-08
10,-19,-7,1.36608100999708e-07
10,-19,-6,7.45776584231127e-07
10,-19,-5,4.02723679822185e-06
10,-19,-4,2.13495257636847e-05
10,-19,-3,0.000111419849202724
10,-19,-2,0.00057197859741121
10,-19,-1,0.00287921177371686
10,-19,0,0.0140279545503485
10,-19,1,0.0625117976851621
10,-19,2,0.20919674495877
